	nome_produto	valor_produto	data_busca	link_produto
220	Memória Value 16Gb 2X 8Gb 240P Ddr3 1600 12800 G.Skill - G Skill	886.9	5/10/2017	https://www.magazineluiza.com.br/memoria-value-16gb-2x-8gb-240p-ddr3-1600-12800-g.skill-g-skill/p/7770259/ia/mddr/
221	Pen Drive Dc Super Homem Usb 2.0 8Gb Pd086 Multilaser - Multilaser	35.9	5/10/2017	https://www.magazineluiza.com.br/pen-drive-dc-super-homem-usb-2.0-8gb-pd086-multilaser-multilaser/p/7771022/ia/inaz/
222	Pen Drive Papai Noel na Chaminé - Mega Empório	19.9	5/10/2017	https://www.magazineluiza.com.br/pen-drive-papai-noel-na-chamine-mega-emporio/p/7773968/ia/inaz/
223	Hd Externo 2Tb Usb 5.2 3.In Silver Back Up Plus Stdr2000101 Seagate - Seagate	546.9	5/10/2017	https://www.magazineluiza.com.br/hd-externo-2tb-usb-5.2-3.in-silver-back-up-plus-stdr2000101-seagate-seagate/p/7775495/ia/iahp/
224	Cartão de memória playstation2 16mb preto fxmc16 - flex - Flex	33.55	5/10/2017	https://www.magazineluiza.com.br/cartao-de-memoria-playstation2-16mb-preto-fxmc16-flex-flex/p/7772491/ia/inaz/
225	Leitor de Cartão de Memória 38 em 1 USB Multilaser AC102 - Multilaser	35.91	5/10/2017	https://www.magazineluiza.com.br/leitor-de-cartao-de-memoria-38-em-1-usb-multilaser-ac102-multilaser/p/7400065/ia/inaz/
226	Pen Drive Naruto - Mega Empório	19.9	5/10/2017	https://www.magazineluiza.com.br/pen-drive-naruto-mega-emporio/p/7428253/ia/inaz/
227	Ssd Msata Nuc Cubi Brix Sms200 120Gb 6Gb/S Sms200s3/120G Kingston - Kingston	473.9	5/10/2017	https://www.magazineluiza.com.br/ssd-msata-nuc-cubi-brix-sms200-120gb-6gb-s-sms200s3-120g-kingston-kingston/p/7429285/ia/inaz/
228	Pen Drive Lata de Heineken - Mega Empório	19.9	5/10/2017	https://www.magazineluiza.com.br/pen-drive-lata-de-heineken-mega-emporio/p/7436000/ia/inaz/
229	Pen Drive Mickey Fundo Vermelho - Mega Empório	19.9	5/10/2017	https://www.magazineluiza.com.br/pen-drive-mickey-fundo-vermelho-mega-emporio/p/7437546/ia/inaz/
230	Pen Drive Biscoito - Mega Empório	19.9	5/10/2017	https://www.magazineluiza.com.br/pen-drive-biscoito-mega-emporio/p/7437217/ia/inaz/
231	Pen Drive Coelho Branco - Mega Empório	19.9	5/10/2017	https://www.magazineluiza.com.br/pen-drive-coelho-branco-mega-emporio/p/7439227/ia/inaz/
232	Pen Drive Patrick Estrela - Mega Empório	19.9	5/10/2017	https://www.magazineluiza.com.br/pen-drive-patrick-estrela-mega-emporio/p/7439254/ia/inaz/
233	Pen drive 8gb kingston datatraveler 100 usb 3.0 dt100g3/8gb - Kingston	35.9	5/10/2017	https://www.magazineluiza.com.br/pen-drive-8gb-kingston-datatraveler-100-usb-3.0-dt100g3-8gb-kingston/p/7439096/ia/inaz/
234	Memória Ram Para Servidor Ddr4 8Gb 2133Mhz Kvr21e15d8/8 Kingston - Kingston	691.9	5/10/2017	https://www.magazineluiza.com.br/memoria-ram-para-servidor-ddr4-8gb-2133mhz-kvr21e15d8-8-kingston-kingston/p/7401952/ia/mddr/
235	Pen Drive Pinguim com Lupa - Mega Empório	19.9	5/10/2017	https://www.magazineluiza.com.br/pen-drive-pinguim-com-lupa-mega-emporio/p/7403313/ia/inaz/
236	Pen Drive Mini Médico de Lego - Mega Empório	19.9	5/10/2017	https://www.magazineluiza.com.br/pen-drive-mini-medico-de-lego-mega-emporio/p/7419124/ia/inaz/
